环境,项目,测试机规格,正式机规格,备注
服务器,CPU,2 核,8 核,正式机建议 8 核应对高并发
服务器,内存,4 GB,16 GB,ES + 应用需要充足内存
服务器,硬盘,50 GB SSD,200 GB SSD,预留日志/数据/图片空间
服务器,带宽,5 Mbps,30 Mbps,视用户量可再调整
,,,,,
Docker 服务（测试机）,MySQL,512 MB,-,正式机用 RDS
Docker 服务,Redis,256 MB,1 GB,
Docker 服务,Elasticsearch,1 GB,4 GB,搜索性能关键
Docker 服务,RabbitMQ,256 MB,1 GB,
Docker 服务,mall-admin,512 MB,2 GB,
Docker 服务,mall-portal,512 MB,2 GB,
Docker 服务,mall-search,256 MB,1 GB,
Docker 服务,Nginx,128 MB,512 MB,正式机用 ALB 替代
Docker 服务,合计,约 3.5 GB,约 11.5 GB,正式机不含 MySQL/Nginx
,,,,,
AWS 托管服务（正式机）,RDS MySQL,-,db.t3.large (2C/8G),Multi-AZ 高可用
AWS 托管服务（正式机）,RDS 存储,-,100 GB gp3,自动扩展
AWS 托管服务（正式机）,ALB 负载均衡,-,Application Load Balancer,HTTPS 终止
AWS 托管服务（正式机）,ElastiCache Redis,-,cache.t3.medium (可选),提升缓存性能
,,,,,
云服务商参考,EC2,t3.medium,t3.2xlarge,
云服务商参考,RDS,-,db.t3.large,
云服务商参考,ALB,-,按请求计费,
,,,,,
费用估算（月）,EC2,约 $35,约 $150,
费用估算（月）,RDS MySQL,-,约 $100-150,Multi-AZ
费用估算（月）,ALB,-,约 $20-30,按请求量
费用估算（月）,数据传输,-,约 $20-50,视流量
费用估算（月）,合计,约 $35,约 $300-400,不含 CDN/备份
,,,,,
架构说明,测试机,单机 Docker 全包,Docker + 托管服务,
架构说明,数据库,Docker MySQL,AWS RDS (Multi-AZ),自动备份/故障转移
架构说明,负载均衡,无,AWS ALB,支持多实例扩展
架构说明,未来扩展,无,可加 EC2 实例横向扩展,ALB 自动分流
,,,,,
其他,域名,1 个测试域名,1 个正式域名,
其他,SSL 证书,Let's Encrypt,AWS ACM（免费）,ALB 自动管理
其他,数据库备份,每日备份,RDS 自动备份 + 快照,保留 7-30 天
其他,监控,基础监控,CloudWatch + 告警,
其他,CDN,不需要,CloudFront（建议）,图片/静态资源
